timestamp,hit_at_5,mrr,precision_at_5,recall_at_5,faithfulness,answer_relevance,context_relevance,retrieval_time_sec,generation_time_sec,total_time_sec,num_retrieved,num_ground_truth,retrieved_books,ground_truth,rag_method,llm_model,query,query_type,logic
2025-11-27T21:37:48.599621,1.0,1.0,1.0,0.35714285714285715,0.5,0.5,0.5,0.187,33.921,34.108,9,14,The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Wicked : the life and times of the wicked witch of the West; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials; The lazy dragon and the bumblespells wizard,The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Wicked : the life and times of the wicked witch of the West; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials; The lazy dragon and the bumblespells wizard,graphrag,tinyllama,witch OR wizard,topic,OR
2025-11-27T21:38:50.873227,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.381,33.231,33.612,10,20,The dragon's eye; Of mice and magic; 1-2-3 magic : effective discipline for children 2-12; The magic gourd ; a West African folktale; The magic school bus at the waterworks,Of mice and magic; 1-2-3 magic : effective discipline for children 2-12; The magic gourd ; a West African folktale; The magic school bus at the waterworks; A tale of highly unusual magic,graphrag,tinyllama,dragon OR magic,topic,OR
2025-11-27T21:39:59.269725,1.0,1.0,0.2,0.05,0.5,0.5,0.5,0.339,40.4,40.74,10,20,Queen Alexandra.; The sea queen : a novel; Eleanor of Aquitaine and the four kings.; The last kingdom. Season two; Versailles,"The Greek upheaval : kings, demagogues, and bayonets; Report of the King County Regional Planning Commission to the Honorable Board of County Commissioners of King County, Washington : July, 1927.; King of shadows; The new juvenile court building; Queen Anne buyer's guide and community profile : Queen Anne Chamber of Commerce 1988",graphrag,tinyllama,king OR queen OR kingdom,topic,OR
2025-11-27T21:41:09.533451,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.328,40.367,40.695,10,20,The gutsy girl : escapades for your life of epic adventure; Adventure time. Volume 12; Conan : the complete quest.; The story of the blue planet; Nightmare of the iguana,The gutsy girl : escapades for your life of epic adventure; Adventure time. Volume 12; Conan : the complete quest.; The story of the blue planet; Nightmare of the iguana,graphrag,tinyllama,adventure OR quest,topic,OR
2025-11-27T21:42:37.315215,1.0,0.2,0.2,0.05,0.5,0.5,0.5,0.339,57.229,57.568,10,20,The sword-edged blonde; The witchwood crown; Legend has it; Peter Pan; Secrets of a proper countess,Secrets of a proper countess; Deep fantasy; Not my blood; The trial; Walk away,graphrag,tinyllama,fantasy OR fiction,topic,OR
2025-11-27T21:44:24.724250,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.326,42.781,43.107,10,20,Eva y la tarta; Berry's Halloween costume trouble : read-along storybook and CD; The case of the poached egg; Kat's maps; El pez pucheros,Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,graphrag,tinyllama,juvenile fiction,topic,OR
2025-11-27T21:45:13.238617,1.0,0.5,0.8,0.2,0.5,0.5,0.5,0.351,20.585,20.937,10,20,Ni shi guang yin pai de tang = You are the candy of time; Secrets of a proper countess; Not my blood; The trial; Walk away,Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,graphrag,tinyllama,romance fiction,topic,OR
2025-11-27T21:46:43.707748,1.0,0.3333333333333333,0.4,0.14285714285714285,0.5,0.5,0.5,6.175,49.725,55.9,10,14,"The like switch : [an ex-FBI agent's guide to influencing, attracting, and winning people over]; The witchwood crown; Imagine you're a wizard! = Hãy tưởng tượng bạn là Phù thuỷ; Las diabluras de Salem Hyde. 1, Un lío de conjuros; The Autumnlands. Volume two, Woodland creatures",The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Wicked : the life and times of the wicked witch of the West; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials; The lazy dragon and the bumblespells wizard,hyde,tinyllama,witch OR wizard,topic,OR
2025-11-27T21:56:18.884318,1.0,1.0,0.4,0.1,0.5,0.5,0.5,7.994,530.601,538.596,10,20,The dragon's eye; Dragonwatch; The dragonling collector's edition. Vol. 1; The lazy dragon and the bumblespells wizard; Icefire,Of mice and magic; 1-2-3 magic : effective discipline for children 2-12; The magic gourd ; a West African folktale; The magic school bus at the waterworks; A tale of highly unusual magic,hyde,tinyllama,dragon OR magic,topic,OR
2025-11-27T21:57:53.771716,0.0,0.0,0.0,0.0,0.5,0.5,0.5,20.775,41.819,62.594,10,20,"Kids who rule : the remarkable lives of five child monarchs; A knight of the Seven Kingdoms; The high king.; Bob books. Set 5, The king; Wolves of the Calla","The Greek upheaval : kings, demagogues, and bayonets; Report of the King County Regional Planning Commission to the Honorable Board of County Commissioners of King County, Washington : July, 1927.; King of shadows; The new juvenile court building; Queen Anne buyer's guide and community profile : Queen Anne Chamber of Commerce 1988",hyde,tinyllama,king OR queen OR kingdom,topic,OR
