timestamp,rag_method,query,ground_truth,retrieved_count,retrieved_titles,answer,hit@5,mrr,precision@5,faithfulness,answer_relevance,context_utilization,retrieval_time,generation_time
2025-12-05T02:39:25.303152,GraphRAG,witch OR wizard,"The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Wicked : the life and times of the wicked witch of the West; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials; The lazy dragon and the bumblespells wizard; Fairy Tail. 29; The unofficial guide to crafting the world of Harry Potter : 30 magical crafts for witches and wizards -- from pencil wands to house colors tie-dye shirts; Doctor Strange; Only a witch can fly; Fairy Tail. 39; Lulu and the witch baby; The Autumnlands. Volume two, Woodland creatures; The witch's revenge; Imagine you're a wizard! = Hãy tưởng tượng bạn là Phù thuỷ",10,The lazy dragon and the bumblespells wizard; Imagine you're a wizard! = Hãy tưởng tượng bạn là Phù thuỷ; The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Wicked : the life and times of the wicked witch of the West; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials; Fairy Tail. 29; The unofficial guide to crafting the world of Harry Potter : 30 magical crafts for witches and wizards -- from pencil wands to house colors tie-dye shirts; Doctor Strange; Only a witch can fly,"Here are some books featuring witches and wizards:

- **The Near Witch** by Victoria Schwab is a fantasy novel about a girl who must uncover the truth behind a mysterious boy and a curse that haunts her town.
- **Wicked: The Life and Times of the Wicked Witch of the West** by Gregory Maguire offers a unique perspective on the classic Wizard of Oz story, focusing on the witch's life.
- **You Wouldn't Want to Be a Salem Witch!** by Jim Pipe provides a lighthearted look at the Salem Witch Trials.
- **Imagine You're a Wizard!** by Meg Clibbon is a fun and interactive book for children, encouraging imagination and creativity.

These are just a few suggestions from the Seattle Public Library's collection. Would you like to know more about any of these titles or continue the search with different keywords?",1.0,1.0,1.0,1.0,1.0,0.1678,0.4961,16.7423
2025-12-05T02:39:34.911037,GraphRAG,dragon OR magic,"Of mice and magic; 1-2-3 magic : effective discipline for children 2-12; The magic gourd ; a West African folktale; The magic school bus at the waterworks; A tale of highly unusual magic; The magic; Celtic myth & magick : harness the power of the gods and goddesses; The magician king : a novel; The magic calabash; folk tales from America's islands and Alaska.; Magic tree house incredible fact book; The dragon's eye; The lazy dragon and the bumblespells wizard; Darkness of dragons; The dragon at the North Pole; The night of wishes : or, The satanarchaeolidealcohellish notion potion; The magic door; Magic and desire; Night's blaze; Squid Kid the Magnificent; A summer spell; Hamster magic; The brightest night; 365 tarot spreads : revealing the magic in each day; More than magic; Gauge; Like magic; Harry Potter : a journey through a history of magic.; Memory and magic; The 11:11 wish; Raising dragons; Poems and magic.; The dragon's wings : the China National Aviation Corporation and the development of commercial aviation in China; Land of love and drowning; Phoebe and her Unicorn in The magic storm; Pete's dragon; Dragonwatch; Liesl & Po; Magic Mike XXL : original motion picture soundtrack.; Ship of magic; Goldeline; Icefire; The language of thorns : midnight tales and dangerous magic; Magic City. The complete first season; Doctor Strange. [2], The last days of magic; A book of spirits and thieves; Dragongirl; Dungeon crawl; Magic seal; The rules of magic; Dragon ball super. 1, Warriors from Universe 6!",10,The dragon's eye; The dragon at the North Pole; Pete's dragon; How to train your dragon; Old MacDonald had a dragon; Of mice and magic; 1-2-3 magic : effective discipline for children 2-12; The magic gourd ; a West African folktale; The magic school bus at the waterworks; A tale of highly unusual magic,"Here are some books that match your search:

- **The Dragon's Eye** by Kaza Kingsley
- **Pete's Dragon**, a classic animated film
- **How to Train Your Dragon**, a popular animated movie
- **Old MacDonald Had a Dragon** by Ken Baker
- **Of Mice and Magic** by Ursula Vernon
- **The Magic Gourd**, a West African folktale by Baba Wagué Diakité
- **The Magic School Bus at the Waterworks** by Joanna Cole
- **A Tale of Highly Unusual Magic** by Lisa Papademetriou

Would you like to know more about any of these titles? I can provide further details and assist with availability and reservations if you wish.",1.0,1.0,0.6,1.0,1.0,0.2613,0.2633,9.3443
2025-12-05T02:39:42.261367,GraphRAG,king OR queen OR kingdom,"The Greek upheaval : kings, demagogues, and bayonets; Report of the King County Regional Planning Commission to the Honorable Board of County Commissioners of King County, Washington : July, 1927.; King of shadows; The new juvenile court building; Queen Anne buyer's guide and community profile : Queen Anne Chamber of Commerce 1988; The Ulysses theme; a study in the adaptability of a traditional hero.; Elizabeth crowned queen; the pictorial record of the coronation.; Ngô Quyền và trận chiến trên sông Bạch Đằng; Denver; a pictorial history from frontier camp to Queen City of the Plains; Royal progress; one hundred years of British monarchy.; Between you & me : confessions of a comma queen; The Sunderland flying-boat queen; A king's ransom; La Reina de España = The Queen of Spain; Crooked kingdom; King John : an underrated king; Queen Alexandra.; Victoria; The Middle Kingdom; a survey of the geography, government, literature, social life, arts, and history of the Chinese empire and its inhabitants.; King County legislative district analyses; Henry IV, part I; World without end : Spain, Philip II, and the first global empire; Bionicle. The legend reborn; The magician king : a novel; EllRay Jakes the recess king!; The king of bees; The prince and the pauper; Grace Hopper : queen of computer code; The queen is dead; King County Department of Community and Environmental Division, Division of Architecture : draft environmental impact statement : Seahurst Park (plans as revised pursuant to findings of State Shoreline Hearing Board SHB #13) : pursuant to the Statement [i.e. State] Environmental Policy Act of 1974 (Chapter 43.21c R.C.W.).; The king of bones and ashes : a witches of New Orleans novel; Queen Anne : the politics of passion; The sea queen : a novel; MPTF, Metropolitan Parks Task Force : phase II report : preserving a regional legacy : proposing a countywide, 6-year, 5.5 cent levy to fund the operation and maintenance of regional and rural county parks; The iron king; Kids who rule : the remarkable lives of five child monarchs; City of Seattle draft environmental statement for North Greenwood West storm drains North Greenwood West neighborhood & Piper Creek canyon, Seattle, King County, Washington; The political philosophy of Martin Luther King, Jr.; Martin Luther King Jr. : a peaceful leader; The first queen of England : the myth of ""Bloody Mary""; Administrative analysis of the King County district courts; King County, Washington surface water design manual; Wolves of the Calla; Planning report : alcoholism services, 1972; Seattle-King County route map [cartographic material]; Like a fading shadow; Eyes on the prize. Vol. 7, The keys to the kingdom (1974-1980) ; Back to the movement(1979-1985) : America's civil rights movement; Islands at the edge : preserving the Queen Charlotte Islands wilderness; Martin Luther King, Jr.; Inactive list of incorporated cities and towns in King County as of January 1, 1956",10,"Eleanor of Aquitaine and the four kings.; Queen Alexandra.; The sea queen : a novel; The last kingdom. Season two; The emperor's new groove; The king of Queens. 8th season; Versailles; Shadow on the crown; The Greek upheaval : kings, demagogues, and bayonets; Report of the King County Regional Planning Commission to the Honorable Board of County Commissioners of King County, Washington : July, 1927.","Here are some books that match your search terms:

1. Eleanor of Aquitaine and the Four Kings by Amy R. Kelly
2. Queen Alexandra by Georgina Battiscombe
3. The Sea Queen by Linnea Hartsuyker
4. The Last Kingdom (Season Two) - TV series
5. The Emperor's New Groove - Animated film
6. The King of Queens (8th Season) - TV series
7. Versailles by Kathryn Davis
8. Shadow on the Crown by Patricia Bracewell
9. The Greek Upheaval: Kings, Demagogues, and Bayonets by Taki Theodoracopulos
10. Report of the King County Regional Planning Commission - Historical document.

Would you like to know more about any of these titles or refine your search further?",1.0,0.5,0.4,1.0,0.0,0.3061,0.0795,7.2705
2025-12-05T02:39:51.799280,GraphRAG,adventure OR quest,"The gutsy girl : escapades for your life of epic adventure; Adventure time. Volume 12; Conan : the complete quest.; The story of the blue planet; Nightmare of the iguana; Sealab : America's forgotten quest to live and work on the ocean floor; Those magnificent sheep in their flying machine; The great outdoors cookbook : adventures in cooking under the open sky; Adventure time. [12], Thunder Road; Stickman Odyssey. Book one, An epic doodle; Down the rabbit hole : curious adventures and cautionary tales of a former Playboy bunny; The adventures of Tintin. Volume 6; Chasing portraits : a great-granddaughter's quest for her lost art legacy; How to tame a human tornado; Race the night; Quirk's quest. The lost and the found; Eloise's pirate adventure; Greenpeace captain : my adventures in protecting the future of our planet; The extraordinary adventures of Adèle Blanc-Sec. [2]; A doggone adventure; Hiking Lassen Volcanic National Park : a guide to the park's greatest hiking adventures; Navigating Early; Can you see what I see? : dream machine : a picture adventure to search and solve; The hilarious adventures of Mish and Mash : the story of how two monsters-- and you-- make the perfect joke book!; The lost compass; The half that's never been told : the real-life Reggae adventures of Doctor Dread; The way downtown : adventures in public transit; The boys in the boat : [nine Americans and their epic quest for gold at the 1936 Berlin Olympics]; My country school diary : an adventure in creative teaching; Backroads of Washington : your guide to Washington's most scenic backroad adventures; Chickens in the road : an adventure in ordinary splendor; The freedom business : including A narrative of the life and adventures of Venture, a native of Africa; Daddy's back-to-school shopping adventure; Seattle family adventures : city escapades, day trips, weekend getaways, and itineraries for fun-loving families; Quest for the city of gold; The adventures of Sherlock Holmes. Volume four; The circus of adventure; Little Bo in London : the ultimate adventure of Bonnie Boadicea; Bubble Guppies. The puppy and the ring; The Incredible Space Raiders : from space!; Guess how much I love you, the adventures of Little Nutbrown Hare. Christmas to the moon and back; Sir Cumference and the Great Knight of Angleland : a math adventure; The last cavalier : being the adventures of Count Sainte-Hermine in the age of Napoleon; This cider still tastes funny! : further adventures of a Maine game warden; The last gold diggers : being as it were, an account of a small dog's adventures, Down Under; A taste for adventure : a culinary odyssey around the world; Crocodile encounters! : and more true stories of adventures with animals; The food explorer : the true adventures of the globe-trotting botanist who transformed what America eats; The busy life of eighty-five years of Ezra Meeker. Ventures and adventures, sixty-three years of pioneer life in the old Oregon country; an account of the author's trip across the plains with an ox team, 1852; return trip, 1906-7; his cruise on Puget Sound, 1853; trip through the Natchess pass, 1854; over the Chilcoot pass; flat-boating on the Yukon, 1898. The Oregon trail.; Battle in the Overworld",10,"The last gold diggers : being as it were, an account of a small dog's adventures, Down Under; The gutsy girl : escapades for your life of epic adventure; Adventure time. Volume 12; Conan : the complete quest.; The story of the blue planet; Nightmare of the iguana; Sealab : America's forgotten quest to live and work on the ocean floor; Those magnificent sheep in their flying machine; The great outdoors cookbook : adventures in cooking under the open sky; Adventure time. [12], Thunder Road","Here are some books that fit your search for adventure or quest-themed stories:

1. ""The Last Gold Diggers"" by Harry Horse: A tale of a small dog's adventures in Australia.
2. ""The Gutsy Girl"" by Caroline Paul: Encouraging women to seek adventure and providing tips for outdoor activities.
3. ""Adventure Time, Volume 12"" by Chris Hastings: A graphic novel based on the popular animated series.
4. ""Conan: The Complete Quest"": A collection of stories featuring the legendary Conan the Barbarian.
5. ""Sealab: America's Forgotten Quest"" by Ben Hellwarth: A non-fiction account of an ambitious ocean exploration project.
6. ""Those Magnificent Sheep in Their Flying Machine"" by Peter Bently: A fun adventure story for children.
7. ""The Great Outdoors Cookbook"": A guide to cooking while camping and exploring the outdoors.

These books offer a range of adventure and quest-related narratives, from fictional tales to practical guides. Would you like to know more about any of these titles or their availability at the Seattle Public Library?",1.0,1.0,1.0,1.0,1.0,0.376,0.0921,9.4455
2025-12-05T02:40:01.545668,GraphRAG,fantasy OR fiction,"Secrets of a proper countess; Deep fantasy; Not my blood; The trial; Walk away; Eva y la tarta; Berry's Halloween costume trouble : read-along storybook and CD; The case of the poached egg; Kat's maps; El pez pucheros; Tucky Jo and Little Heart; The trouble with babies; Amid stars and darkness; The postman; The trick : a novel; Independence day; Always a bridesmaid; The hired man; Love & friendship : in which Jane Austen's Lady Susan Vernon is entirely vindicated : concerning the beautiful Lady Susan Vernon, her cunning daughter & the strange antagonism of the DeCourcy family; Oliver; Poppy the pirate dog and the missing treasure; Joseph had a little overcoat; A son called Gabriel : a novel; Waiting; Sticker girl; Yang guang xia de zui e; The sword of the Silver Knight; Princess Juniper of the Hourglass; Season of crimson blossoms; Ni shi guang yin pai de tang = You are the candy of time; If the fates allow : an LGBTQ holiday anthology; Feed; Dambo; Fashionably late; Hong qi qiu; You got a rock, Charlie Brown!; 5 minute Mickey Mouse stories; Noisy Nora; Ginger the stray kitten; A dog called Bear; The great cake race; Max and Bird; Blue sky; Calvin, look out! : a bookworm birdie gets glasses; Heather, the totality : a novel; Nightshade; Fright Club; Addison the April Fool's Day fairy; The Penderwicks : a summer tale of four sisters, two rabbits, and a very interesting boy; My family four floors up",10,The sword-edged blonde; The witchwood crown; Legend has it; Peter Pan; Secrets of a proper countess; Deep fantasy; Not my blood; The trial; Walk away; Eva y la tarta,"Sure, here's a selection of fantasy and fiction books available at the Seattle Public Library:

- **The Sword-Edged Blonde** by Alex Bledsoe - A fantasy novel set in a magical version of 1930s Los Angeles.
- **The Witchwood Crown** by Tad Williams - Epic fantasy following a group of heroes on a quest to save their kingdom.
- **Peter Pan** by J.M. Barrie - A classic children's fantasy adventure about a boy who never grows up.
- **Deep Fantasy** by White Lung - A musical album that might be of interest if you're looking for fantasy-themed music.
- **The Trial** by James Patterson - A legal thriller and work of fiction.
- **Walk Away** by Sam Hawken - A novel about a man's journey to Mexico and the challenges he faces.
- **Eva y la tarta** by Carmela D'Amico - A Spanish language book, potentially a work of fiction.

You can find more books in these genres by browsing the library's online catalog or asking a librarian for recommendations. Enjoy your reading!",1.0,0.2,0.2,1.0,1.0,0.1744,0.2306,9.5156
2025-12-05T02:40:08.991409,GraphRAG,juvenile fiction,"Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta; Big George : how a shy boy became President Washington; Berry's Halloween costume trouble : read-along storybook and CD; The case of the poached egg; Teen Titans go! Couch crusaders; Kat's maps; El pez pucheros; Left for dead : a young man's search for justice for the USS Indianapolis; Tucky Jo and Little Heart; The trouble with babies; Amid stars and darkness; I, fly : the buzz about flies and how awesome they are; The postman; The trick : a novel; Independence day; Always a bridesmaid; The hired man; Greek myths; Love & friendship : in which Jane Austen's Lady Susan Vernon is entirely vindicated : concerning the beautiful Lady Susan Vernon, her cunning daughter & the strange antagonism of the DeCourcy family; Toilets; Oliver; Poppy the pirate dog and the missing treasure; Joseph had a little overcoat; A son called Gabriel : a novel; Waiting; Sticker girl; How a house is built; Statue of Liberty : Liberty, enlightening the world; Yang guang xia de zui e; Angola; The sword of the Silver Knight; Princess Juniper of the Hourglass; Messages from Mars; Season of crimson blossoms; Ni shi guang yin pai de tang = You are the candy of time; If the fates allow : an LGBTQ holiday anthology; Feed; Dambo; Fashionably late; Hong qi qiu; You got a rock, Charlie Brown!; Man walks on the Moon; 5 minute Mickey Mouse stories; Noisy Nora; Ginger the stray kitten; A dog called Bear",10,Eva y la tarta; Berry's Halloween costume trouble : read-along storybook and CD; The case of the poached egg; Kat's maps; El pez pucheros; Tucky Jo and Little Heart; The trouble with babies; Amid stars and darkness; Poppy the pirate dog and the missing treasure; Joseph had a little overcoat,"Sure, here are some options for juvenile fiction books available at the Seattle Public Library:

- **'Eva y la tarta'** by Carmela D'Amico: A charming story about a little girl's baking adventure.
- **'Berry's Halloween Costume Trouble'** by Rico Green: Follow Berry as they find the perfect Halloween costume.
- **'The Case of the Poached Egg'** by Robin Newman: A fun mystery for young readers.
- **'Kat's Maps'** by Jon Scieszka: Join Kat on her imaginative adventures with maps.
- **'Poppy the Pirate Dog and the Missing Treasure'** by Liz Kessler: A pirate-themed tale about a dog's quest.

These books offer a variety of genres, from adventure to mystery, suitable for young readers. Feel free to explore the library's catalog for more options!",1.0,1.0,1.0,1.0,1.0,0.2588,0.0715,7.3739
2025-12-05T02:40:12.292673,GraphRAG,romance fiction,"Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta; Berry's Halloween costume trouble : read-along storybook and CD; The case of the poached egg; Kat's maps; El pez pucheros; Tucky Jo and Little Heart; The trouble with babies; Amid stars and darkness; The postman; The trick : a novel; Independence day; Always a bridesmaid; The hired man; Love & friendship : in which Jane Austen's Lady Susan Vernon is entirely vindicated : concerning the beautiful Lady Susan Vernon, her cunning daughter & the strange antagonism of the DeCourcy family; Oliver; Poppy the pirate dog and the missing treasure; Joseph had a little overcoat; A son called Gabriel : a novel; Waiting; Sticker girl; Yang guang xia de zui e; The sword of the Silver Knight; Princess Juniper of the Hourglass; Season of crimson blossoms; Ni shi guang yin pai de tang = You are the candy of time; If the fates allow : an LGBTQ holiday anthology; Feed; Dambo; Fashionably late; Hong qi qiu; You got a rock, Charlie Brown!; 5 minute Mickey Mouse stories; Noisy Nora; Ginger the stray kitten; A dog called Bear; The great cake race; Max and Bird; Blue sky; Calvin, look out! : a bookworm birdie gets glasses; Heather, the totality : a novel; Nightshade; Fright Club; Addison the April Fool's Day fairy; The Penderwicks : a summer tale of four sisters, two rabbits, and a very interesting boy; My family four floors up; The scarecrows' wedding",10,Ni shi guang yin pai de tang = You are the candy of time; Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta; Berry's Halloween costume trouble : read-along storybook and CD; The case of the poached egg; Kat's maps; El pez pucheros,"Here are some romance fiction titles available at the Seattle Public Library:

- *Secrets of a Proper Countess* by Lecia Cornwall
- *Not My Blood* by Barbara Cleverly
- *Walk Away* by Sam Hawken

These books are available for checkout, and you can reserve them online or visit any of our branches to borrow them. Enjoy your reading!",1.0,1.0,1.0,1.0,1.0,0.1327,0.036,3.265
2025-12-05T02:40:16.180988,HyDE,witch OR wizard,"The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Wicked : the life and times of the wicked witch of the West; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials; The lazy dragon and the bumblespells wizard; Fairy Tail. 29; The unofficial guide to crafting the world of Harry Potter : 30 magical crafts for witches and wizards -- from pencil wands to house colors tie-dye shirts; Doctor Strange; Only a witch can fly; Fairy Tail. 39; Lulu and the witch baby; The Autumnlands. Volume two, Woodland creatures; The witch's revenge; Imagine you're a wizard! = Hãy tưởng tượng bạn là Phù thuỷ",10,The witchwood crown; The lazy dragon and the bumblespells wizard; The Near Witch; Wicked : the life and times of the wicked witch of the West; The unofficial guide to crafting the world of Harry Potter : 30 magical crafts for witches and wizards -- from pencil wands to house colors tie-dye shirts; Lulu and the witch baby; Imagine you're a wizard! = Hãy tưởng tượng bạn là Phù thuỷ; The witchmaster's key; The king of bones and ashes : a witches of New Orleans novel; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials,"[LLM ERROR] headers: {'access-control-expose-headers': 'X-Debug-Trace-ID', 'cache-control': 'no-cache, no-store, no-transform, must-revalidate, private, max-age=0', 'content-encoding': 'gzip', 'content-type': 'application/json', 'expires': 'Thu, 01 Jan 1970 00:00:00 GMT', 'pragma': 'no-cache', 'vary': 'Origin,Accept-Encoding', 'x-accel-expires': '0', 'x-debug-trace-id': '8ae7a2d373960b7716b6428e726bf87c', 'x-endpoint-monthly-call-limit': '1000', 'x-trial-endpoint-call-limit': '5', 'x-trial-endpoint-call-remaining': '4', 'date': 'Fri, 05 Dec 2025 02:40:16 GMT', 'x-envoy-upstream-service-time': '8', 'server': 'envoy', 'via': '1.1 google', 'alt-svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'transfer-encoding': 'chunked'}, status_code: 404, body: {'id': '92acd76f-fd1d-47cf-aa92-c788bf191e9f', 'message': 'Generate API was removed on September 15 2025. Please migrate to Chat API. See https://docs.cohere.com/docs/migrating-from-cogenerate-to-cochat for details.'}",1.0,0.5,0.8,0.0,0.0,0.0253,3.8681,0.02
2025-12-05T02:40:23.466219,HyDE,dragon OR magic,"Of mice and magic; 1-2-3 magic : effective discipline for children 2-12; The magic gourd ; a West African folktale; The magic school bus at the waterworks; A tale of highly unusual magic; The magic; Celtic myth & magick : harness the power of the gods and goddesses; The magician king : a novel; The magic calabash; folk tales from America's islands and Alaska.; Magic tree house incredible fact book; The dragon's eye; The lazy dragon and the bumblespells wizard; Darkness of dragons; The dragon at the North Pole; The night of wishes : or, The satanarchaeolidealcohellish notion potion; The magic door; Magic and desire; Night's blaze; Squid Kid the Magnificent; A summer spell; Hamster magic; The brightest night; 365 tarot spreads : revealing the magic in each day; More than magic; Gauge; Like magic; Harry Potter : a journey through a history of magic.; Memory and magic; The 11:11 wish; Raising dragons; Poems and magic.; The dragon's wings : the China National Aviation Corporation and the development of commercial aviation in China; Land of love and drowning; Phoebe and her Unicorn in The magic storm; Pete's dragon; Dragonwatch; Liesl & Po; Magic Mike XXL : original motion picture soundtrack.; Ship of magic; Goldeline; Icefire; The language of thorns : midnight tales and dangerous magic; Magic City. The complete first season; Doctor Strange. [2], The last days of magic; A book of spirits and thieves; Dragongirl; Dungeon crawl; Magic seal; The rules of magic; Dragon ball super. 1, Warriors from Universe 6!",10,The dragonling collector's edition. Vol. 1; Dragonwatch; The dragon's eye; Raising dragons; The dragon at the North Pole; The dragon prophecy : the fourth adventure in the Kingdom of Fantasy; The dragon of fortune : an epic Kingdom of Fantasy adventure; The lazy dragon and the bumblespells wizard; The magician king : a novel; The language of thorns : midnight tales and dangerous magic,"[LLM ERROR] headers: {'access-control-expose-headers': 'X-Debug-Trace-ID', 'cache-control': 'no-cache, no-store, no-transform, must-revalidate, private, max-age=0', 'content-encoding': 'gzip', 'content-type': 'application/json', 'expires': 'Thu, 01 Jan 1970 00:00:00 GMT', 'pragma': 'no-cache', 'vary': 'Origin,Accept-Encoding', 'x-accel-expires': '0', 'x-debug-trace-id': '23ea799e5841436ab9f770d0ca2a0cba', 'x-endpoint-monthly-call-limit': '1000', 'x-trial-endpoint-call-limit': '5', 'x-trial-endpoint-call-remaining': '3', 'date': 'Fri, 05 Dec 2025 02:40:23 GMT', 'x-envoy-upstream-service-time': '10', 'server': 'envoy', 'via': '1.1 google', 'alt-svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'transfer-encoding': 'chunked'}, status_code: 404, body: {'id': 'c94adf3d-2e92-44cf-8701-a8848f0c4b9c', 'message': 'Generate API was removed on September 15 2025. Please migrate to Chat API. See https://docs.cohere.com/docs/migrating-from-cogenerate-to-cochat for details.'}",1.0,0.5,0.8,0.0,0.0,0.0,7.2649,0.0201
2025-12-05T02:40:44.565071,HyDE,king OR queen OR kingdom,"The Greek upheaval : kings, demagogues, and bayonets; Report of the King County Regional Planning Commission to the Honorable Board of County Commissioners of King County, Washington : July, 1927.; King of shadows; The new juvenile court building; Queen Anne buyer's guide and community profile : Queen Anne Chamber of Commerce 1988; The Ulysses theme; a study in the adaptability of a traditional hero.; Elizabeth crowned queen; the pictorial record of the coronation.; Ngô Quyền và trận chiến trên sông Bạch Đằng; Denver; a pictorial history from frontier camp to Queen City of the Plains; Royal progress; one hundred years of British monarchy.; Between you & me : confessions of a comma queen; The Sunderland flying-boat queen; A king's ransom; La Reina de España = The Queen of Spain; Crooked kingdom; King John : an underrated king; Queen Alexandra.; Victoria; The Middle Kingdom; a survey of the geography, government, literature, social life, arts, and history of the Chinese empire and its inhabitants.; King County legislative district analyses; Henry IV, part I; World without end : Spain, Philip II, and the first global empire; Bionicle. The legend reborn; The magician king : a novel; EllRay Jakes the recess king!; The king of bees; The prince and the pauper; Grace Hopper : queen of computer code; The queen is dead; King County Department of Community and Environmental Division, Division of Architecture : draft environmental impact statement : Seahurst Park (plans as revised pursuant to findings of State Shoreline Hearing Board SHB #13) : pursuant to the Statement [i.e. State] Environmental Policy Act of 1974 (Chapter 43.21c R.C.W.).; The king of bones and ashes : a witches of New Orleans novel; Queen Anne : the politics of passion; The sea queen : a novel; MPTF, Metropolitan Parks Task Force : phase II report : preserving a regional legacy : proposing a countywide, 6-year, 5.5 cent levy to fund the operation and maintenance of regional and rural county parks; The iron king; Kids who rule : the remarkable lives of five child monarchs; City of Seattle draft environmental statement for North Greenwood West storm drains North Greenwood West neighborhood & Piper Creek canyon, Seattle, King County, Washington; The political philosophy of Martin Luther King, Jr.; Martin Luther King Jr. : a peaceful leader; The first queen of England : the myth of ""Bloody Mary""; Administrative analysis of the King County district courts; King County, Washington surface water design manual; Wolves of the Calla; Planning report : alcoholism services, 1972; Seattle-King County route map [cartographic material]; Like a fading shadow; Eyes on the prize. Vol. 7, The keys to the kingdom (1974-1980) ; Back to the movement(1979-1985) : America's civil rights movement; Islands at the edge : preserving the Queen Charlotte Islands wilderness; Martin Luther King, Jr.; Inactive list of incorporated cities and towns in King County as of January 1, 1956",10,"A knight of the Seven Kingdoms; The high king.; King George III : English monarch; A clash of kings; The magician king : a novel; The sea queen : a novel; Bob books. Set 5, The king; The dragon queen; The last kingdom. Season two; Crooked kingdom","[LLM ERROR] headers: {'access-control-expose-headers': 'X-Debug-Trace-ID', 'cache-control': 'no-cache, no-store, no-transform, must-revalidate, private, max-age=0', 'content-encoding': 'gzip', 'content-type': 'application/json', 'expires': 'Thu, 01 Jan 1970 00:00:00 GMT', 'pragma': 'no-cache', 'vary': 'Origin,Accept-Encoding', 'x-accel-expires': '0', 'x-debug-trace-id': '32c451043c3de1efbc2d66642a8aad97', 'x-endpoint-monthly-call-limit': '1000', 'x-trial-endpoint-call-limit': '5', 'x-trial-endpoint-call-remaining': '2', 'date': 'Fri, 05 Dec 2025 02:40:44 GMT', 'x-envoy-upstream-service-time': '8', 'server': 'envoy', 'via': '1.1 google', 'alt-svc': 'h3="":443""; ma=2592000,h3-29="":443""; ma=2592000', 'transfer-encoding': 'chunked'}, status_code: 404, body: {'id': 'a72bd82f-d16d-4272-9f0d-eb58f88ab97b', 'message': 'Generate API was removed on September 15 2025. Please migrate to Chat API. See https://docs.cohere.com/docs/migrating-from-cogenerate-to-cochat for details.'}",1.0,0.2,0.2,0.0,0.0,0.0,21.0011,0.0975
